_pid,_identifiers-1,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,title-1:title_sort_portion,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_term.authority,name-4:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,note-1:note_value,note-1:note_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_sublocation,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,place_of_origin-1:place_of_origin_value,place_authority_identifier,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1:subject_hierarchical_geographic_street_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,	  subject_hierarchical_geographic-1:subject_hierarchical_geographic_country_text_value,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,note-2:note_value,note-2:note_type,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,note-4:note_value,note-4:note_type,relatedItem_Project,project URL,object_in_context_url-1:object_in_context_url_value,language_of_cataloging-1:language_of_cataloging_term.value
,averyephemera_lhw_000,asset,averyephemera_lhw,,omeka_7307,,"Leeds & Hazard, Wholesale Druggists, No. 121 Maiden Lane, Bill/Receipt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210030.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_lhw,item,,,,,"Leeds & Hazard, Wholesale Druggists, No. 121 Maiden Lane, Bill/Receipt",John H. Yardley Collection of Architectural Letterheads,,Leeds & Hazard,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,,approximate,circa 1853,"Manuscript bill or receipt on company letterhead featuring 121 Maiden Lane, New York, N.Y.",,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,manuscipts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Prescriptions, formulae, receipts, etc.",fast,http://id.worldcat.org/fast/1424054,reformatted digital,AA735 N4 J619,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,Street: 121 Maiden Lane,New York,New York,United States,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,text,still image,Donated by Bernice Gordon in memory of Mr. John H. Yardley.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_lpm_000,asset,averyephemera_lpm,,omeka_7306,,"Lazell's Perfume, 90, 92 & 94 Maiden Lane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210029.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_lpm,item,,,,,"Lazell's Perfume, 90, 92 & 94 Maiden Lane",John H. Yardley Collection of Architectural Letterheads,,Lazell's Perfumes,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,"Lazell, Dalley & Co.",corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,1888,,approximate,circa 1888,"Manuscript receipt on company letterhead featuring 90, 92, and 94 Maiden Lane, New York, N.Y.",,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Prescriptions, formulae, receipts, etc.",fast,http://id.worldcat.org/fast/1424054,reformatted digital,AA735 N4 J619,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,Street: 90-94 Maiden Lane,New York,New York,United States,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,text,,Donated by Bernice Gordon in memory of Mr. John H. Yardley.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_jfs_000,asset,averyephemera_jfs,,omeka_7305,,"John F. Stratton, 49 Maiden Lane, New York. Envelope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210028.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_jfs,item,,,,,"John F. Stratton, 49 Maiden Lane, New York. Envelope",John H. Yardley Collection of Architectural Letterheads,,"Stratton, John F.",personal,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,naf,http://id.loc.gov/authorities/names/n78023423,,,,,,,,,,,,,,,,,,,,,,1888,,,1888,"Personal letterhead featuring 49 Maiden Lane, New York, N.Y., on envelope stamped 1888.",,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,AA735 N4 J619,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,Street: 49 Maiden Lane,New York,New York,United States,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,still image,text,Donated by Bernice Gordon in memory of Mr. John H. Yardley.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_abs_000,asset,averyephemera_abs,,omeka_7304,,"Abel Bros. & Co., 29 Maiden Lane, Bill/Receipt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210027.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_abs,item,,,,,"Abel Bros. & Co., 29 Maiden Lane, Bill/Receipt",John H. Yardley Collection of Architectural Letterheads,,Abel Bros. & Co.,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,,approximate,circa 1916,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,"Prescriptions, formulae, receipts, etc.",fast,http://id.worldcat.org/fast/1424054,reformatted digital,AA735 N4 J619,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,Consumer goods,lcsh,http://id.loc.gov/authorities/subjects/sh88006884,Architecture--United States,lcsh,http://id.loc.gov/authorities/subjects/sh85006693,,,,,Street: 29 Maiden Lane,New York,New York,United States,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,still image,,Donated by Bernice Gordon in memory of Mr. John H. Yardley.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_wbc_000,asset,averyephemera_wbc,,omeka_7303,,"Walter Brewing Company, Bill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ave_biggert_00049r.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_wbc,item,,,,,"Walter Brewing Company, Bill",Biggert Collection of Architectural Vignettes on Commercial Stationery,,Walter Brewing Company,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1911-03-11,,,"March 11, 1911","Bill/Receipt featuring the Walter Brewing Company's plants in Menasha, Wisc. and Pueblo, Colo., dated March 11, 1911.",,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,"Prescriptions, formulae, receipts, etc.",fast,http://id.worldcat.org/fast/1424054,reformatted digital,AA705 B48,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Pueblo (Colo.),http://id.loc.gov/authorities/names/n79107962,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Breweries,lcsh,http://id.loc.gov/authorities/subjects/sh85016771,,,,,,,,,,,,,,,Menasha (Wis.),naf,http://id.loc.gov/authorities/names/n83228675,Pueblo (Colo.),naf,http://id.loc.gov/authorities/names/n79107962,,,still image,text,Donated by Robert Biggert in honor of Lisa Ann Riveaux.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_nsc_001,asset,averyephemera_nsc,,omeka_7302,,Recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ave_biggert_00770r.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_nsc,item,,,,,National State Capital Bank Check,Biggert Collection of Architectural Vignettes on Commercial Stationery,,National State Capital Bank,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,1889,approximate,between 1880 and 1889,"Check dated February 25, 1882, featuring, possibly, the offices of Stewart, Haring and Warren at 470 Broadway, New York, N.Y. Check issued from the account of Dodge, Davis and Co., at National State Capital Bank.",,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,AA705 B48,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Concord (N.H.),http://id.loc.gov/authorities/names/n79076708,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,Street: 470 Broadway,New York,New York,United States,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,still image,text,Donated by Robert Biggert in honor of Lisa Ann Riveaux.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_lfd_000,asset,averyephemera_lfd,,omeka_7301,,Louis F. Dow Company Letter to Farmers & Merchants Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ave_biggert_00675r.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_lfd,item,,,,,Louis F. Dow Company Letter to Farmers & Merchants Bank,Biggert Collection of Architectural Vignettes on Commercial Stationery,,Louis F. Dow Co.,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,naf,http://id.loc.gov/authorities/names/no2015091601,"Farmers & Merchants Bank (Sheyenne, N.D.)",corporate,Addressee,marcrelator,http://id.loc.gov/vocabulary/relators/rcp,,,,,,,,,,,,,,,,,1850,1920,inferred,between 1850 and 1920,"Typescript commercial letter on company letterhead featuring St. Paul, MN.",Date range inferred from dates of the Biggert Collection of Architectural Vignettes on Commercial Stationery.,,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,,,,reformatted digital,AA705 B48,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Saint Paul (Minn.),http://id.loc.gov/authorities/names/n81020369,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,,,,,,,,Saint Paul (Minn.),naf,http://id.loc.gov/authorities/names/n81020369,,,text,still image,Donated by Robert Biggert in honor of Lisa Ann Riveaux.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_jlc_000,asset,averyephemera_jlc,,omeka_7300,,John Lucas & Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ave_biggert_01425r.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/letterheads/letterhead,
,averyephemera_jlc,item,,,,,John Lucas & Co.,Biggert Collection of Architectural Vignettes on Commercial Stationery,,John Lucas & Co.,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,naf,http://id.loc.gov/authorities/names/nr91041562,,,,,,,,,,,,,,,,,,,,,,1850,1920,inferred,between 1850 and 1920,Letterhead/commercial stationery featuring architecture in Philadelphia.,Date range inferred from dates of the Biggert Collection of Architectural Vignettes on Commercial Stationery.,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,AA705 B48,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Philadelphia (Pa.),http://id.loc.gov/authorities/names/n78095520,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture in art,lcsh,http://id.loc.gov/authorities/subjects/sh85006905,,,,,,,,,,,,,,,Philadelphia (Pa.),naf,http://id.loc.gov/authorities/names/n78095520,,,,,,text,,Donated by Robert Biggert in honor of Lisa Ann Riveaux.,provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_swa_001,asset,averyephemera_swa,,omeka_7289,,Recto of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210016.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_swa,item,,,,,Seattle Washington,,,C. P. Johnston Company,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Mike Roberts Color Productions,corporate,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/prt,naf,http://id.loc.gov/authorities/names/nr98020693,,,,,,,,,,,,,,,1890,1950,inferred,between 1890 and 1950,,Date range inferred from dates of the Biggert Collection of Architectural Vignettes on Commercial Stationery.,,postcards,aat,http://vocab.getty.edu/aat/300026816,,,,,,,reformatted digital,AA707 C68,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Seattle (Wash.),http://id.loc.gov/authorities/names/n79041965,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Published for C.P. Johnston Company,"Space Needle (Seattle, Wash.)",lcsh,http://id.loc.gov/authorities/subjects/sh88007581,Cities and towns,lcsh,http://id.loc.gov/authorities/subjects/sh85026130,,,,,,,,,,,,Seattle (Wash.),naf,http://id.loc.gov/authorities/names/n79041965,,,,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sfd,item,,,,,"Souvenir Folder of Detroit, Mich.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,,,1913,"Booklet/folder for postcard souvenirs, featuring the Detroit Post Office.",,,postcards,aat,http://vocab.getty.edu/aat/300026816,,,,,,,reformatted digital,AA707 C68,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Architecture,lcsh,http://id.loc.gov/authorities/subjects/sh85006611,Post office buildings--United States,lcsh,http://id.loc.gov/authorities/subjects/sh2010107809,,,,,,,,,,,,Detroit (Mich.),naf,http://id.loc.gov/authorities/names/n79045539,,,,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sfd_001,asset,averyephemera_sfd,,omeka_7288,,Recto of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210015.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_anm_001,asset,averyephemera_anm,,omeka_7294,,Recto cover of viewbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210021.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_anm_001,asset,averyephemera_anm,,omeka_7295,,Verso cover of viewbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210022.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_anm,item,,,,1101838,"Albuquerque, New Mexico : Chief City of a New Empire in the Great Southwest",American Viewbook Collection,,"Hening, H. B.",personal,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,naf,http://id.loc.gov/authorities/names/nr93021379,"Johnson, E. Dana",personal,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,naf,http://id.loc.gov/authorities/names/nr93021382,,,,,,,,,,,,,,,1908,,approximate,circa 1908,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,reformatted digital,AA735 AL15 AL15,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Albuquerque (N.M.),http://id.loc.gov/authorities/names/n79079329,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,H.B. Hening and E.D. Johnson,Albuquerque (N.M.)--Description and travel,lcsh,,Travel,lcsh,http://id.loc.gov/authorities/subjects/sh85137149,,,,,,,,,,,,Albuquerque (N.M.),naf,http://id.loc.gov/authorities/names/n79079329,,,,,,text,still image,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_ccb_001,asset,averyephemera_ccb,,omeka_7296,,Cover of viewbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210023.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_ccb_001,asset,averyephemera_ccb,,omeka_7297,,"Chicago skyline, showing Grant Park and Michigan Boulevard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210024.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_ccb,item,,,,1100670,"Chicago, The City Beautiful",American Viewbook Collection,,Curt Teich & Co.,corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,naf,http://id.loc.gov/authorities/names/nr2004026443,,,,,,,,,,,,,,,,,,,,,,1940,1949,approximate,between 1940 and 1949,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,reformatted digital,AA735 C4 C4345 S,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Chicago (Ill.),http://id.loc.gov/authorities/names/n78086438,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Curt Teich & Co.,Architecture--Illinois--Chicago,lcsh,http://id.loc.gov/authorities/subjects/sh2009115478,Architecture,lcsh,http://id.loc.gov/authorities/subjects/sh85006611,,,,,,,,,,,,Chicago (Ill.),naf,http://id.loc.gov/authorities/names/n78086438,,,,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_emw_001,asset,averyephemera_emw,,omeka_7277,,Section 1. Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210004.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
