identifier_omeka,item - public,item - featured,note,keyDate_start,form,	relatedItem_collection,dateQualifier,shelfLocator,physicalLocation,place,digitalOrigin,languageOfCataloging,name_primary,title,dateCreated,abstract,language,note_filename,typeOfResource,relatedItem_Project
7565,1,0,Original filename: 130058114.tif,1945-08-25,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",,,"Gilliland, Technician Fifth Grade |United States. Army. Signal Corps
",Doolittle Raiders: verso,25-Aug-45,"CT-45-70,210, 8/25/45, Photo T/5 Gilliland, Three survivors of General Doolittle's Tokyo flight, released from Jap prison camp at Peiping, arrive at Chungking by air. Left to right: Cpl. Jacob D. DeShazer, 32, Madras, Ore.; 2nd Lt Robert L. Hite, 25, Earth, Tex.; 2nd Lt. Charles J. Wielsen, 28, Hyrum, Utah. Fourth man is Pvt. Eddie Laursen, El Monte, Calif., who was captured by Japs on Bataan.",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058114.jpg,Still Image,"Barney Rosset and China
"
7564,1,0,Original filename: 130058113.tif|Caption from reverse of photograph,1945-08-25,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",,,"Gilliland, Technician Fifth Grade |United States. Army. Signal Corps
",Doolittle Raiders: recto,25-Aug-45,"CT-45-70,210, 8/25/45, Photo T/5 Gilliland, Three survivors of General Doolittle's Tokyo flight, released from Jap prison camp at Peiping, arrive at Chungking by air. Left to right: Cpl. Jacob D. DeShazer, 32, Madras, Ore.; 2nd Lt Robert L. Hite, 25, Earth, Tex.; 2nd Lt. Charles J. Wielsen, 28, Hyrum, Utah. Fourth man is Pvt. Eddie Laursen, El Monte, Calif., who was captured by Japs on Bataan.",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058113.jpg,Still Image,"Barney Rosset and China
"
7563,1,0,Original filename: 130058112.tif,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Ho Ying Chin Signing At Table: verso,9-Sep-45,"CT-45-27104, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058112.jpg,Still Image,"Barney Rosset and China
"
7562,1,0,Original filename: 130058111.tif|Caption from reverse of photograph,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Ho Ying Chin Signing At Table: recto,9-Sep-45,"CT-45-27104, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058111.jpg,Still Image,"Barney Rosset and China
"
7561,1,0,Original filename: 130058110.tif,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Ho Ying Chin Signing Surrender: verso,9-Sep-45,"CT-45-27106, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058110.jpg,Still Image,"Barney Rosset and China
"
7560,1,0,Original filename: 130058109.tif|Caption from reverse of photograph,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",Ho Ying Chin Signing Surrender: recto,9-Sep-45,"CT-45-27106, Nanking, China, 9 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058109.jpg,Still Image,"Barney Rosset and China
"
7559,1,0,Original filename: 130058108.tif,1945-09-03,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",,,"Kienzle, Staff Sergeant |United States. Army. Signal Corps
",Victory Parade Chungking: verso,3-Sep-45,"CT-45-70,249, 9/3/45 Photo by S/Sgt Kienzle, Chinese crowding the war capital of Chungking sheer wildly as a contingent of U.S. soldiers and WAOS keep through the streets as part of an interminable V-J day parade.  ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058108.jpg,Still Image,"Barney Rosset and China
"
7558,1,0,Original filename: 130058107.tif|Caption from reverse of photograph,1945-09-03,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",,,"Kienzle, Staff Sergeant |United States. Army. Signal Corps
",Victory Parade Chungking: recto,3-Sep-45,"CT-45-70,249, 9/3/45 Photo by S/Sgt Kienzle, Chinese crowding the war capital of Chungking sheer wildly as a contingent of U.S. soldiers and WAOS keep through the streets as part of an interminable V-J day parade.  ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058107.jpg,Still Image,"Barney Rosset and China
"
7557,1,0,Original filename: 130058106.tif,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",General Okamura: verso,9-Sep-45,"CT-45-27108, Nanking, China, 9 Sep 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058106.jpg,Still Image,"Barney Rosset and China
"
7556,1,0,Original filename: 130058105.tif|Caption from reverse of photograph,1945-09-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Loeb, Lieutenant |United States. Army. Signal Corps
",General Okamura: recto,9-Sep-45,"CT-45-27108, Nanking, China, 9 Sep 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058105.jpg,Still Image,"Barney Rosset and China
"
7555,1,0,Original filename: 130058104.tif,1945-03-24,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Greenberg, S.L.|United States. Army. Signal Corps
",Chennault: verso,24-Mar-45,"CT-45-22614, Kunming, China, 24 Mar 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058104.jpg,Still Image,"Barney Rosset and China
"
7554,1,0,Original filename: 130058103.tif|Caption from reverse of photograph,1945-03-24,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Greenberg, S.L.|United States. Army. Signal Corps
",Chennault: recto,24-Mar-45,"CT-45-22614, Kunming, China, 24 Mar 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058103.jpg,Still Image,"Barney Rosset and China
"
7553,1,0,Original filename: 130058102.tif,1945-08-28 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",rd,eng,"Gilliland, Technician Fifth Grade |United States. Army. Signal Corps
",Mao And US Ambassadors: verso,28-Aug-45,"CT-45-70,228, 8/28/45 Photo Gilliland, Mao Tse Tung, North China Communist party chairman, and U.S. ambassador Patrick J. Hurley chat with party officials upon arrival at Chungking from Yan'an for a conference with central government chiefs. ",eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058102.jpg,Still Image,"Barney Rosset and China
"
7552,1,0,Original filename: 130058101.tif|Caption from reverse of photograph,1945-08-28 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 33","Rare Book and Manuscript Library, Columbia University","Chungking, China",rd,eng,"Gilliland, Technician Fifth Grade |United States. Army. Signal Corps
",Mao And US Ambassadors: recto,28-Aug-45,"CT-45-70,228, 8/28/45 Photo Gilliland, Mao Tse Tung, North China Communist party chairman, and U.S. ambassador Patrick J. Hurley chat with party officials upon arrival at Chungking from Yan'an for a conference with central government chiefs. ",eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058101.jpg,Still Image,"Barney Rosset and China
"
7551,1,0,Original filename: 130058100.tif,1945-09-20,photographs,Barney Rosset papers,exact,"Box 9, Folder 32","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Kocourek, Technician Fourth Grade |United States. Army. Signal Corps
",Searching Japanese For Firearms: verso,20-Sep-45,"CT-45-27485, Nanking, China, 20 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058100.jpg,Still Image,"Barney Rosset and China
"
7550,1,0,Original filename: 130058099.tif|Caption from reverse of photograph,1945-09-20,photographs,Barney Rosset papers,exact,"Box 9, Folder 32","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Kocourek, Technician Fourth Grade |United States. Army. Signal Corps
",Searching Japanese For Firearms: recto,20-Sep-45,"CT-45-27485, Nanking, China, 20 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058099.jpg,Still Image,"Barney Rosset and China
"
7549,1,0,Original filename: 130058098.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Caption provided by Barney Rosset,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 32","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Memorial Service For Roosevelt,,"Memorial Service for Roosevelt, Kweiyang, China",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058098.jpg,Still Image,"Barney Rosset and China
"
7548,1,0,Original filename: 130058097.tif|Caption from reverse of photograph,1945-09-19,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Ewing, Lieutenant  |United States. Army. Signal Corps
",Aerial View Of Shanghai,19-Sep-45,"CT-45-27477, Shanghai, China, 19 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058097.jpg,Still Image,"Barney Rosset and China
"
7547,1,0,Original filename: 130058096.tif,1945-09-20,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Kocourek, Technician Fourth Grade |United States. Army. Signal Corps
",Chinese Frisking Japanese: verso,20-Sep-45,"CT-45-27483, Nanking, China, 20 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058096.jpg,Still Image,"Barney Rosset and China
"
7546,1,0,Original filename: 130058095.tif|Caption from reverse of photograph,1945-09-20,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Nanking, China",,,"Kocourek, Technician Fourth Grade |United States. Army. Signal Corps
",Chinese Frisking Japanese: recto,20-Sep-45,"CT-45-27483, Nanking, China, 20 Sept 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058095.jpg,Still Image,"Barney Rosset and China
"
7545,1,0,Original filename: 130058094.tif|Caption from reverse of photograph,1945,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Rosset, Barney",Sailors In Shanghai,1945,US Sailors riding in pedicab. Shanghai 1945,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058094.jpg,Still Image,"Barney Rosset and China
"
7544,1,0,Original filename: 130058093.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Caption from reverse of photograph,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Rosset, Barney",Bund In Shanghai,,U.S.S. Nashville in river alongside the Bund,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058093.jpg,Still Image,"Barney Rosset and China
"
7543,1,0,Original filename: 130058092.tif|Caption 1. from reverse of photograph; caption 2. provided by Barney Rosset,1945-09,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Rosset, Barney",Shanghai Riverfront With Kids,Sep-45,"1. Along the docks Broadway Mansions in the background 2. Shanghai riverfront, September 1945. Photograph by Barney Rosset",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058092.jpg,Still Image,"Barney Rosset and China
"
7542,1,0,Original filename: 130058091.tif,1945-09-06,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Manwarren, F.D.|United States. Army. Signal Corps
",Marshall Tang En Po Enters Shanghai: verso,6-Sep-45,"CT-45-2716, Shanghai, China, 6 Sep 45 ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058091.jpg,Still Image,"Barney Rosset and China
"
7541,1,0,Original filename: 130058090.tif|Caption from reverse of photograph,1945-09-06,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Shanghai, China",,,"Manwarren, F.D.|United States. Army. Signal Corps
",Marshall Tang En Po Enters Shanghai: recto,6-Sep-45,"CT-45-2716, Shanghai, China, 6 Sep 45 ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058090.jpg,Still Image,"Barney Rosset and China
"
7540,1,0,Original filename: 130058089.tif,1945-09-08 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Kiangwan, China",rd,eng,"Ewing, Lieutenant  |United States. Army. Signal Corps
",Crowds at Kiangwan Airfield Greet Incoming 94th Chinese Army of Occupation : verso,8-Sep-45,8 Sep 45,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058089.jpg,Still Image,"Barney Rosset and China
"
7539,1,0,Original filename: 130058088.tif|Caption from reverse of photograph,1945-09-08 ,photographs,Barney Rosset papers,exact,"Box 9, Folder 31","Rare Book and Manuscript Library, Columbia University","Kiangwan, China",rd,eng,"Ewing, Lieutenant  |United States. Army. Signal Corps
",Crowds at Kiangwan Airfield Greet Incoming 94th Chinese Army of Occupation : recto,8-Sep-45,8 Sep 45,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058088.jpg,Still Image,"Barney Rosset and China
"
7538,1,0,Original filename: 130058087.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Caption from reverse of photograph,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 30","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Chinese And Americans Eating Together,,"1, 2, 3, 4 (Col. Craig), 5 (Col. Bango), 6 (Nurse), 7, 8, 9, 10 (Lt.)",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058087.jpg,Still Image,"Barney Rosset and China
"
7537,1,0,Original filename: 130058086.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 30","Rare Book and Manuscript Library, Columbia University",China,rd,eng,"Rosset, Barney","Smoking the ""Peace Pipe"": verso",,Your son smoking the peace pipe. I'm in the other shot. Note pipe made from Pabet blue ribbon beer cans..,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058086.jpg,Still Image,"Barney Rosset and China
"
7536,1,0,Original filename: 130058085.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Caption from reverse of photograph,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 30","Rare Book and Manuscript Library, Columbia University",China,rd,eng,"Rosset, Barney","Smoking the ""Peace Pipe"": recto",,Your son smoking the peace pipe. I'm in the other shot. Note pipe made from Pabet blue ribbon beer cans..,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058085.jpg,Still Image,"Barney Rosset and China
"
7535,1,0,Original filename: 130058084.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Date photograph printed--Aug. '45,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 29","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney","Sticks, Boats, River",,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058084.jpg,Still Image,"Barney Rosset and China
"
7534,1,0,Original filename: 130058083.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Date photograph printed--Aug. '45,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 29","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Three Waterwheels,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058083.jpg,Still Image,"Barney Rosset and China
"
7533,1,0,Original filename: 130058082.tif|Caption from reverse of photograph,1945-05,photographs,Barney Rosset papers,exact,"Box 9, Folder 29","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney","Street Scene, May '45",May-45,"Street Scene, China, May 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058082.jpg,Still Image,"Barney Rosset and China
"
7532,1,0,Original filename: 130058081.tif|Caption from reverse of photograph,1945-05,photographs,Barney Rosset papers,exact,"Box 9, Folder 29","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney","Guerilla Team In Trucks, May '45",May-45,"Transporting guerilla team, May '45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058081.jpg,Still Image,"Barney Rosset and China
"
7531,1,0,Original filename: 130058080.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 29","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Chinese Soldiers Waiting For Battle,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058080.jpg,Still Image,"Barney Rosset and China
"
7530,1,0,Original filename: 130058079.tif,1945-07,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Mined Airfield-liuchow: verso,Jul-45,"CT-45-25435, Liuchow, China, 1 July 45 ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058079.jpg,Still Image,"Barney Rosset and China
"
7529,1,0,Original filename: 130058078.tif|Caption from reverse of photograph,1945-07,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Mined Airfield-liuchow: recto,Jul-45,"CT-45-25435, Liuchow, China, 1 July 45 ",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058078.jpg,Still Image,"Barney Rosset and China
"
7528,1,0,Original filename: 130058077.tif|Caption provided by Barney Rosset,1945,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Kunming-Kweiyang, China",,,"Rosset, Barney",Curvy Kunming-kweiyang Road,1945,"Kunming-Kweiyang road in 1945, presumably the same road mentioned by Pres. Zemin in the 1996 article",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058077.jpg,Still Image,"Barney Rosset and China
"
7527,1,0,Original filename: 130058076.tif|Caption from reverse of photograph,1945-03,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Barney Rosset With Waterfall,Mar-45,"China, March 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058076.jpg,Still Image,"Barney Rosset and China
"
7526,1,0,Original filename: 130058075.tif|Caption provided by Barney Rosset,1945-07,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Kweiyang, China|Liuchow, China",,,"Rosset, Barney",Mountain Road Ambush,Jul-45,"Mountain road between Kweiyang and Liuchow where fleeing Chinese and civilians were ambushed by Japanese Cavalry troops, July 1945",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058075.jpg,Still Image,"Barney Rosset and China
"
7525,1,0,Original filename: 130058074.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Man Carrying Children On Shoulder,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058074.jpg,Still Image,"Barney Rosset and China
"
7524,1,0,Original filename: 130058073.tif|Caption from reverse of photograph,1945-06,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Tatang, China|Liuchow, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Repaired Bridge In Kweiyang,Jun-45,"CT-45-25418-8, Kweiyang, China, June 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058073.jpg,Still Image,"Barney Rosset and China
"
7523,1,0,Original filename: 130058072.tif|Caption provided by Barney Rosset,1944,photographs,Barney Rosset papers,exact,"Box 9, Folder 28","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney",Barney Rosset Surveys Street,Winter 1944,"Barney Rosset on a Kweiyang Street, Kweiyang, Winter 1944",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058072.jpg,Still Image,"Barney Rosset and China
"
7522,1,0,Original filename: 130058071.tif,1945-07-19,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kweiyang, China|Luichow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Blown-up Locomotive: verso,19-Jul-45,"CT-45-26455, Kweiyang to Southeastern Front, 19 July 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058071.jpg,Still Image,"Barney Rosset and China
"
7521,1,0,Original filename: 130058070.tif|Caption from reverse of photograph,1945-07-19,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kweiyang, China|Luichow, China",,,"Shemorry, W. E.|United States. Army. Signal Corps
",Blown-up Locomotive: recto,19-Jul-45,"CT-45-26455, Kweiyang to Southeastern Front, 19 July 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058070.jpg,Still Image,"Barney Rosset and China
"
7520,1,0,Original filename: 130058069.tif|Caption provided by Barney Rosset,1945,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kweichow Province, China",,,"Rosset, Barney",Roadside Repair,1945,"Roadside repair, Kweichow Province, China, 1945",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058069.jpg,Still Image,"Barney Rosset and China
"
7519,1,0,Original filename: 130058068.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Waterwheel,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058068.jpg,Still Image,"Barney Rosset and China
"
7518,1,0,Original filename: 130058067.tif|Caption from reverse of photograph,1945-05-08,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kunming, China",,,"Passantino, Joseph|United States. Army. Signal Corps
",Chinese Looking At Propaganda Poster,8-May-45,"CT-45-23913, Kunming, China, 8 May 1945",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058067.jpg,Still Image,"Barney Rosset and China
"
7517,1,0,Original filename: 130058066.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. |Inscription on original photograph,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Inscribed Photo By Major General ,,"To 164 Photo Unit: Best Wishes G.X. Cheves, Maj. Gen. USA",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058066.jpg,Still Image,"Barney Rosset and China
"
7516,1,0,Original filename: 130058065.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Duck Being Served To US Soldiers,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058065.jpg,Still Image,"Barney Rosset and China
"
7515,1,0,Original filename: 130058064.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Barney Rosset With Camera By Water,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058064.jpg,Still Image,"Barney Rosset and China
"
7514,1,0,Original filename: 130058063.tif,1945-06,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Meeting With Guerilla Soldiers: verso,Jun-45,"CT-45-25418-17, Kweiyang, China, June 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058063.jpg,Still Image,"Barney Rosset and China
"
7513,1,0,Original filename: 130058062.tif|Caption from reverse of photograph,1945-06,photographs,Barney Rosset papers,exact,"Box 9, Folder 27","Rare Book and Manuscript Library, Columbia University","Kweiyang, China",,,"Rosset, Barney|United States. Army. Signal Corps
",Meeting With Guerilla Soldiers: recto,Jun-45,"CT-45-25418-17, Kweiyang, China, June 45",,http://ldpd.cul.columbia.edu/rosset_china_130058/130058062.jpg,Still Image,"Barney Rosset and China
"
7512,1,0,Original filename: 130058061.tif|Date range of 1944-1996 based on the earliest and latest dates of the China photographs in Series III of the Barney Rosset papers collection. ,1944 1996,photographs,Barney Rosset papers,inferred,"Box 9, Folder 26","Rare Book and Manuscript Library, Columbia University",China,,,"Rosset, Barney",Barney Being Served Tea,,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058061.jpg,Still Image,"Barney Rosset and China
"
