use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-2:note_type,note-2:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Peter Augustus Jay Militia Commission, , , ,12405,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0064.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Peter Augustus Jay Militia Commission, , , ,12404,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0063.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, , , ,12403,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0062.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, , , ,12402,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0061.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Continental Congress Declaration for Negotiations with Britain, , , ,12401,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0060.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Continental Congress Declaration for Negotiations with Britain, , , ,12400,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0059.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12399,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0058.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12398,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0057.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12397,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0056.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12396,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0055.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12395,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0054.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"A New Medley Overture as Performed at the Theatre with Great Applause Selected & Composed by J. Hewitt, page 6", , , ,12394,original_format, ,music, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1799-1800, ,English,iso639-2,,, ,"Hewitt, James, 1770-1827", , , , , , ,still image,fast,holdings, ,Box 87, , , ,Hunt-Berol Sheet Music Collection,approximate,,,,,,,,,,,,,,,,,,,B. Carr,Philadelphia|Baltimore,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"A New Medley Overture as Performed at the Theatre with Great Applause Selected & Composed by J. Hewitt, ttile page", , , ,12393,original_format, ,music, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1799-1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0053.jpg, ,"Hewitt, James, 1770-1827", , , , , , ,still image,fast,holdings, ,Box 87, , , ,Hunt-Berol Sheet Music Collection,approximate,,,,,,,,,,,,,,,,,,,B. Carr,Philadelphia|Baltimore,
Public Access; viewing only; not to be downloaded, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Governor Jay's March, , , ,12392,original_format, ,video recordings|music, , ,Private Collection,local, ,reformatted digital, ,Still Image,2020, ,English,iso639-2,,, ,"Bartlett, Sarah Cifani|Schulz, Constance B.|Rayfield, Ellen Bartlett|Bartlett, N. Warren|Bartlett, Christine|Bartlett, Judith|Miller, Page Putnam, 1940-", , , , , , ,moving image,fast,,,,,,,,,,,,,,,,,,,,,,,,, ,"Performers: Bartlett, Sarah Cifani, arranger and flute; Schulz, Constance Bartlett, violin; Rayfield, Ellen Bartlett, bassoon; Bartlett, N. Warren, trumpet; Bartlett, Christine, cello; Bartlett, Judith, horn; Miller, Page Putnam, videographer",,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"An Account of the Epidemic Fever which Prevailed in the City of New-York during the Summer and Fall of 1795, title page", , , ,12391,original_format, ,books, , ,"Augustus C. Long Health Sciences Library, Columbia University",local, ,reformatted digital, ,Still Image,1796, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0052.jpg, ,"Bayley, Richard, 1745-1801", , , , , , ,still image,fast,,,,,, ,Special Collections,,,,,,,,,,,,,,,,,,,,Thomas and James Swords,New York,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,A Chart of Newyork harbour, , , ,12390,original_format, ,maps, , ,"Butler Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1800, ,English,iso639-2,,, ,"Nuxoll, Elizabeth Miles, 1943-|Gallagher, Mary A. Y.|Haberman, Robb K.|Steenshorne, Jennifer E. |Vogel, Brant M.", , , , , , ,still image,fast,,,,,,,,approximate,,,,,,,,,,,,,,,,, ,"The ""chart of Newyork harbour,"" is taken from the National Archives and Records Administration. The image was taken from a high resolution image that has been purchased for use by the John Jay Papers volumes. it appeared in volume 6, page 400.",,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Alexander Hamilton to John Jay, detail of endorsement", , , ,12389,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,7 May 1800, ,English,iso639-2,,, ,"Hamilton, Alexander, 1757-1804|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 10, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Alexander Hamilton to John Jay, front", , , ,12388,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,7 May 1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0051.jpg, ,"Hamilton, Alexander, 1757-1804|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 10, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Resolutions of Federalist Freeholders of New York City, front", , , ,12387,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,13 January 1801, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0050.jpg, ,Federalist Freeholders of New York City, , , , , , ,still image,fast,holdings, ,Box 58, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Specific for the Yellow Fever, front", , , ,12386,original_format, ,recipes|documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1795, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0049.jpg,,,,,,,, ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,, , , , ,Yellow fever, , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay to Peter Troup, front", , , ,12385,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,28 December 1799, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0048.jpg, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,,,,,, ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Peter Augustus Jay Militia Commission, front", , , ,12384,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0047.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Report of the Regents to the State Legislature, front", , , ,12383,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1796-1801, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0046.jpg, ,Regents of the State of New York, , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,approximate,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Fort Jay (Photograph), front", , , ,12382,original_format, ,photographs, , ,Private Collection,local, ,reformatted digital, ,Still Image,1 September 2017, ,English,iso639-2,,, ,"Haberman, Robb K.", , , , , , ,still image,fast,,,,,,,,, , , , ,Fort Jay (N.Y.), , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Charge to the Grand Juries on the Eastern Circuit, front", , , ,12381,original_format, ,legal documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,"Between April 12 and May 20, 1790", ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0045.jpg, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,approximate,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Circuit Court Diary, page beginning ""Octr 1790 parted with Judge Cushing""", , , ,12380,original_format, ,diaries, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,"between April 16, 1790 and August 4, 1792", ,English,iso639-2,,, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 11, , , ,John Jay Papers,approximate,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"George Washington to John Jay, front", , , ,12379,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,2 July 1795, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0044.jpg, ,"Washington, George, 1732-1799|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 2, , , ,George Washington Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay's Circuit Court Travel, Eastern District, Spring 1792 Term (15 April-10 July)", , , ,12378,original_format, ,maps, , ,"Butler Library, Columbia University",local, ,reformatted digital, ,Still Image,2017, ,English,iso639-2,,, ,"Nuxoll, Elizabeth Miles, 1943-|Gallagher, Mary A. Y.|Haberman, Robb K.|Steenshorne, Jennifer E. |Nelson, Bill", , , , , , ,still image,fast,,,,,,,,,,,,,,,,,,,,,,,,, ,"Image taken from high resolution image originally purchased for use in John Jay Papers, vol. 5, pages 392-393",University of Virginia Press,Charlottesville|London,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay's Oath as Chief Justice of the Supreme Court, attested to by Richard Morris, front", , , ,12377,original_format, ,legal documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 October 1789, ,English,iso639-2,,, ,"Morris, Richard, 1730-1810", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Laws of the State of New-York. Passed at the Twenty-Second Session, Second Meeting, of the Legislature, begun and held at the City of Albany, the Second Day of January 1799, page 721", , , ,12376,original_format, ,books, , ,"Arthur W. Diamond Law Library, Columbia University",local, ,reformatted digital, ,Still Image,1799, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0043.jpg, ,New York (State), , , , , , ,still image,fast,,,,,, ,Special Collections (Jay),,,,,,,,,,,,,,,,,,,,Loring Andrews,Albany,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Inventory of John Jay's Property, Page beninning ""2 List of Slaves""", , , ,12375,original_format, ,legal documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8-9 Nov. 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0042.jpg, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,, , , , ,Slavery, , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Portrait of William Wilberforce (1759-1833), , , ,12374,original_format, ,paintings, , ,"Art Properties, Columbia University",local, ,reformatted digital, ,Still Image,undated (after 1801),,,,filename,2000.06.048_crop.jpg, ,"Russell, John, 1745-1806, Studio of", , , , , , ,still image,fast,holdings, ,Acc.#2000.06.048, , ,,,approximate,,,,,,,,,,,,,,,,, ,"Although this portrait of William Wilberforce may be by John Russell, and is similar to replicas painted ca. 1800, the inscription on the scroll must have been added later, or the portrait itself is a studio work, as Russell died in 1806 and the passing of the law abolishing the slave trade took place in 1807.",,United Kingdom,12003808
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"William Hamilton to John Jay, pages 2-3 (middle pages)/single sheet", , , ,12373,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 March 1796, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0041.jpg, ,"Hamilton, William, 1773-1836|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 10, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Extrait des Registres de las Societe etablie a Paris, pour l'abolition de la Traite des Negres, front", , , ,12372,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,22 April 1788, ,French,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0040.jpg, ,Société des amis des noirs, , , , , , ,still image,fast,holdings, ,Box 61, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, front", , , ,12371,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0039.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Draft of Conditional Manumission of Benoit, front", , , ,12370,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,21 March 1784, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0038.jpg, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"The Federalist , page 21 ", , , ,12369,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1788, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0037.jpg, ,"Publius|Hamilton, Alexander, 1757-1804|Jay, John, 1745-1829|Madison, James, 1751-1836", , , , , , ,still image,fast,holdings, ,HAMILTON JK154 1788 c. 1, , ,,,,,,,,,,,,,,,,,,,,,,John and Archibald M'Lean,New York,5530007
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"The Federalist , Page 294", , , ,12368,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1818, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0036.jpg, ,"Publius|Hamilton, Alexander, 1757-1804|Jay, John, 1745-1829|Madison, James, 1751-1836", , , , , , ,still image,fast,holdings, ,HAMILTON KF4515 F4 1818h, , ,,,,,,,,,,,,,,,,,,,,,,Benjamin Warner,Philadelphia,10574008
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"George Washington to John Jay, front", , , ,12367,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,3 August 1788, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0035.jpg, ,"Washington, George, 1732-1799|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 2, , , ,George Washington Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"George Washington to John Jay, front", , , ,12366,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 June 1788, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0034.jpg, ,"Washington, George, 1732-1799|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 2, , , ,George Washington Papers,,,,,,,,,,,,,,,,,,,,,,
