_pid,partName,projectURL,_identifiers-1,note-3:note_type,note-2:note_type,note-1:note_type,note-2:note_value,note-1:note_value,relatedItem_project,_project.string_key,name-1:name_term.uri,form-2:form_term.uri,name-1:name_term.value,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,title-1:title_sort_portion,name-1:name_term.name_type,name-1:name_term.authority,language-1:language_term.uri,genre-1:genre_term.authority,location-1:location_term.uri,location-1:location_term.code,_digital_object_type.string_key,title-1:title_non_sort_portion,language-1:language_term.value,location-1:location_term.value,language-1:language_term.authority,location-1:location_term.authority,_parent_digital_objects-1.identifier,name-1:name_role-1.name_role_term.uri,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,name-1:name_role-1.name_role_term.value,date_created-1:date_created_start_value,place_of_origin-1:place_of_origin_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,name-1:name_role-1.name_role_term.authority,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0026.jpg,Original filename:omeka_memory_0026,Memory and Material in Early Modern England, , , ,"Adams, Frank, active 1580-1601", ,books,Still Image,"Wryting tables, with a necessarie calender fayres in Englande, the festiuall holydayes, the hie wayes from one towne to another. Opening with writing table on the right", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"England, London",12050,Still Image, ,1583,No Copyright - United States,holdings, ,6766017,PLIMPTON 529.3 1583 W94, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0025.jpg,Original filename:omeka_memory_0025,Memory and Material in Early Modern England, , , ,"Adams, Frank, active 1580-1601", ,books,Still Image,"Wryting tables, with a necessarie calender fayres in Englande, the festiuall holydayes, the hie wayes from one towne to another. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"England, London",12049,Still Image, ,1583,No Copyright - United States,holdings, ,6766017,PLIMPTON 529.3 1583 W94, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0024.jpg,Original filename:omeka_memory_0024,Memory and Material in Early Modern England, , , ,"Elyot, Thomas, Sir, 1490?-1546", ,books,Still Image,The castel of helth corrected and in some places augmented. p. 59, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Londini,12048,Still Image, ,1541,No Copyright - United States,holdings, ,9572791,B613 EL96 c.1, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0023.jpg,Original filename:omeka_memory_0023,Memory and Material in Early Modern England, , , ,"Elyot, Thomas, Sir, 1490?-1546", ,books,Still Image,The castel of helth corrected and in some places augmented. title page, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Londini,12047,Still Image, ,1541,No Copyright - United States,holdings, ,9572791,B613 EL96 c.1, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0022.jpg,Original filename:omeka_memory_0022,Memory and Material in Early Modern England, , , ,"Spenser, Edmund, 1552?-1599", ,books,Still Image,The faerie queene. page 102, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12046,Still Image, ,1611,No Copyright - United States,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0021.jpg,Original filename:omeka_memory_0021,Memory and Material in Early Modern England, , , ,"Spenser, Edmund, 1552?-1599", ,books,Still Image,The faerie queene. title page, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12045,Still Image, ,1611,No Copyright - United States,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_002.jpg,Original filename:omeka_memory_0020_002,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. pages 34-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12044,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_001.jpg,Original filename:omeka_memory_0020_001,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. pages 34-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12043,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_002.jpg,Original filename:omeka_memory_0019_002,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12042,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_001.jpg,Original filename:omeka_memory_0019_001,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12041,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0018.jpg,Original filename:omeka_memory_0018,Memory and Material in Early Modern England, , , ,"Burton, Robert, 1577-1640|Le Blon, Christof, 1665|Lichfield, John, active 1605-1635", ,books,Still Image,"The anatomy of melancholy: what it is, with all the kinds, causes, symptomes, prognostickes, & seuerall cures of it. page 23", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Oxford,12040,Still Image, ,1628,No Copyright - United States,holdings, ,5568593,B823 B95 O 1628, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/burtonanatomy, , , , ,Melancholy--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0017.jpg,Original filename:omeka_memory_0017,Memory and Material in Early Modern England, , , ,"Burton, Robert, 1577-1640|Le Blon, Christof, 1665|Lichfield, John, active 1605-1635", ,books,Still Image,"The anatomy of melancholy: what it is, with all the kinds, causes, symptomes, prognostickes, & seuerall cures of it. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Oxford,12039,Still Image, ,1628,No Copyright - United States,holdings, ,5568593,B823 B95 O 1628, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/burtonanatomy, , , , ,Melancholy--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0016.jpg,Original filename:omeka_memory_0016,Memory and Material in Early Modern England, , , ,"Newcastle, Margaret Cavendish, Duchess of, 1624?-1674", ,books,Still Image,"Plays, never before printed, Written by the thrice noble, illustrious, and excellent princesse, the Duchess of Newcastle. Portrait facing title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12038,Still Image, ,1668,No Copyright - United States,holdings, ,5567845,B823 N432 Folio, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/cavendish,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0015_002.jpg,Original filename:omeka_memory_0015_002,Memory and Material in Early Modern England, , , ,"Hobbes, Thomas, 1588-1679", ,books,Still Image,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. pages 4-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"Great Britain, England, London",12037,Still Image, ,1651,No Copyright - United States,holdings, ,3242930,B320.1 H651, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/hobbesleviathan, , , , ,"Political science|State, The", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0015_001.jpg,Original filename:omeka_memory_0015_001,Memory and Material in Early Modern England, , , ,"Hobbes, Thomas, 1588-1679", ,books,Still Image,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. pages 4-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"Great Britain, England, London",12036,Still Image, ,1651,No Copyright - United States,holdings, ,3242930,B320.1 H651, , ,, , , , ,"Political science|State, The", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0014.jpg,Original filename:omeka_memory_0014,Memory and Material in Early Modern England, , , ,"Hobbes, Thomas, 1588-1679", ,books,Still Image,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. Title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"Great Britain, England, London",12035,Still Image, ,1651,No Copyright - United States,holdings, ,3242930,B320.1 H651, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/hobbesleviathan, , , , ,"Political science|State, The", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0013.jpg,Original filename:omeka_memory_0013,Memory and Material in Early Modern England, , , ,"Gerard, John, 1545-1612|Norton, John, 1612", ,books,Still Image,"The herball, or, Generall historie of plantes. p. 1110", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12034,Still Image, ,1597,No Copyright - United States,holdings, ,5544609,B580 G31, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/gerardherball, , , , ,Botany--Pre-Linnean works|Herbs--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0012.jpg,Original filename:omeka_memory_0012,Memory and Material in Early Modern England, , , ,"Gerard, John, 1545-1612|Norton, John, 1612", ,books,Still Image,"The herball, or, Generall historie of plantes. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12033,Still Image, ,1597,No Copyright - United States,holdings, ,5544609,B580 G31, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/gerardherball, , , , ,Botany--Pre-Linnean works|Herbs--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0011.jpg,Original filename:omeka_memory_0011,Memory and Material in Early Modern England, , , ,"Browne, Thomas, Sir, 1605-1682|Dodd, Edward, active 17th century|Crooke, Andrew, -1674", ,books,Still Image,"Pseudodoxia epidemica, or, Enquiries into very many received tenents, and commonly presumed truths. page 27", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12032,Still Image, ,1658,No Copyright - United States,holdings, ,5568546,B823 B811 V5 1658a c. 2, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/browneurne, , , , ,Natural history--Pre-Linnean works|Common fallacies--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0010_002.jpg,Original filename:omeka_memory_0010_002,Memory and Material in Early Modern England, , , ,"Browne, Thomas, Sir, 1605-1682|Dodd, Edward, active 17th century|Crooke, Andrew, -1674", ,books,Still Image,"Pseudodoxia epidemica, or, Enquiries into very many received tenents, and commonly presumed truths. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12031,Still Image, ,1658,No Copyright - United States,holdings, ,5568546,B823 B811 V5 1658a c. 2, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/browneurne, , , , ,Natural history--Pre-Linnean works|Common fallacies--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0010_001.jpg,Original filename:omeka_memory_0010_001,Memory and Material in Early Modern England, , , ,"Browne, Thomas, Sir, 1605-1682|Dodd, Edward, active 17th century|Crooke, Andrew, -1674", ,books,Still Image,"Pseudodoxia epidemica, or, Enquiries into very many received tenents, and commonly presumed truths. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12030,Still Image, ,1658,No Copyright - United States,holdings, ,5568546,B823 B811 V5 1658a c. 2, , ,, , , , ,Natural history--Pre-Linnean works|Common fallacies--Early works to 1800, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0009_002.jpg,Original filename:omeka_memory_0009_002,Memory and Material in Early Modern England, , , ,"Bruno, Giordano, 1548-1600", ,books,Still Image,Philothei Iordani Brvni Nolani recens et completa ars reminiscendi. ff. 24v-25, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12029,Still Image, ,1584,No Copyright - United States,holdings, ,6663253,B195 B83 Q, , ,, , , , ,Psychology--Early works to 1850, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0009_001.jpg,Original filename:omeka_memory_0009_001,Memory and Material in Early Modern England, , , ,"Bruno, Giordano, 1548-1600", ,books,Still Image,Philothei Iordani Brvni Nolani recens et completa ars reminiscendi. ff. 24v-25, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12028,Still Image, ,1584,No Copyright - United States,holdings, ,6663253,B195 B83 Q, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/bruno, , , , ,Psychology--Early works to 1850, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0008.jpg,Original filename:omeka_memory_0008,Memory and Material in Early Modern England, , , ,"Bruno, Giordano, 1548-1600", ,books,Still Image,Philothei Iordani Brvni Nolani recens et completa ars reminiscendi. title page, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12027,Still Image, ,1584,No Copyright - United States,holdings, ,6663253,B195 B83 Q, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/bruno, , , , ,Psychology--Early works to 1850, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_004.jpg,Original filename:omeka_memory_0007_004,Memory and Material in Early Modern England, , , ,"Zwinger, Theodor, 1533-1588|Lykosthenes, Konrad, 1518-1561", ,books,Still Image,Theatrum vitæ humanæ. cols. 31-38, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Parisiis,12026,Still Image, ,1571,No Copyright - United States,holdings, ,6614209,B037 Z98, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum, , , , ,"Encyclopedias and dictionaries--Early works to 1800|Encyclopedias and dictionaries, Latin--Early works to 1800", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_003.jpg,Original filename:omeka_memory_0007_003,Memory and Material in Early Modern England, , , ,"Zwinger, Theodor, 1533-1588|Lykosthenes, Konrad, 1518-1561", ,books,Still Image,Theatrum vitæ humanæ. cols. 31-38, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Parisiis,12025,Still Image, ,1571,No Copyright - United States,holdings, ,6614209,B037 Z98, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum, , , , ,"Encyclopedias and dictionaries--Early works to 1800|Encyclopedias and dictionaries, Latin--Early works to 1800", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_002.jpg,Original filename:omeka_memory_0007_002,Memory and Material in Early Modern England, , , ,"Zwinger, Theodor, 1533-1588|Lykosthenes, Konrad, 1518-1561", ,books,Still Image,Theatrum vitæ humanæ. cols. 31-38, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Parisiis,12024,Still Image, ,1571,No Copyright - United States,holdings, ,6614209,B037 Z98, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum, , , , ,"Encyclopedias and dictionaries--Early works to 1800|Encyclopedias and dictionaries, Latin--Early works to 1800", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0007_001.jpg,Original filename:omeka_memory_0007_001,Memory and Material in Early Modern England, , , ,"Zwinger, Theodor, 1533-1588|Lykosthenes, Konrad, 1518-1561", ,books,Still Image,Theatrum vitæ humanæ. cols. 31-38, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Parisiis,12023,Still Image, ,1571,No Copyright - United States,holdings, ,6614209,B037 Z98, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum, , , , ,"Encyclopedias and dictionaries--Early works to 1800|Encyclopedias and dictionaries, Latin--Early works to 1800", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0006.jpg,Original filename:omeka_memory_0006,Memory and Material in Early Modern England, , , ,"Zwinger, Theodor, 1533-1588|Lykosthenes, Konrad, 1518-1561", ,books,Still Image,Theatrum vitæ humanæ. Title page , , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Parisiis,12022,Still Image, ,1571,No Copyright - United States,holdings, ,6614209,B037 Z98, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/zwingertheatrum, , , , ,"Encyclopedias and dictionaries--Early works to 1800|Encyclopedias and dictionaries, Latin--Early works to 1800", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0005.jpg,Original filename:omeka_memory_0005,Memory and Material in Early Modern England, , , ,"Petrus, von Rosenheim, approximately 1380-1433", ,books,Still Image,"Rationarium euangelistarum omnia in se euangelia prosa, uersu, imaginibusq[ue] qua mirifice coplectens. f. a iiij recto ", , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Germany,12021,Still Image, ,1505,No Copyright - United States,holdings, ,1793416,PLIMPTON 154.1 1510 P44, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/vonrosenheim, , , , ,"Mnemonics--Early works to 1850|Bible. Gospels, Pictorial works", , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0004_002.jpg,Original filename:omeka_memory_0004_002,Memory and Material in Early Modern England, , , ,"Romberch, Johann Horst von, active 1505-1532", ,books,Still Image,Congestorium artificiose memorie ... Page 12 + 53, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Venetijs,12020,Still Image, ,1533,No Copyright - United States,holdings, ,5516209,B153.2 H79, , ,, , , , ,Mnemonics, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0004_001.jpg,Original filename:omeka_memory_0004_001,Memory and Material in Early Modern England, , , ,"Romberch, Johann Horst von, active 1505-1532", ,books,Still Image,Congestorium artificiose memorie ... Page 12 + 53, , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Venetijs,12019,Still Image, ,1533,No Copyright - United States,holdings, ,5516209,B153.2 H79, , ,, , , , ,Mnemonics, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0003.jpg,Original filename:omeka_memory_0003,Memory and Material in Early Modern England, , , ,"Romberch, Johann Horst von, active 1505-1532", ,books,Still Image,Congestorium artificiose memorie ... Title page , , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Venetijs,12018,Still Image, ,1533,No Copyright - United States,holdings, ,5516209,B153.2 H79, , ,, , , , ,Mnemonics, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0002.jpg,Original filename:omeka_memory_0002,Memory and Material in Early Modern England, , , ,"Rosselli, Cosimo, 1439-1507|Rosselli, Damiano, active 1579|Padovani, Antonio, active 16th century", ,books,Still Image,"Thesaurus artificiosae memoriae, concionatoribus, philosophis, medicis, juristis, oratoribus, procuratoribus, caeterisq[ue] bonarum litterarum amatoribus. Pars Secunda, Page 138", , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Venetiis,12017,Still Image, ,1579,No Copyright - United States,holdings, ,5516224,B154.1 R72, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/rossellithesaurus, , , , ,Mnemonics--Early works to 1850, , , , , , , , , , , 
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0001.jpg,Original filename:omeka_memory_0001,Memory and Material in Early Modern England, , , ,"Rosselli, Cosimo, 1439-1507|Rosselli, Damiano, active 1579|Padovani, Antonio, active 16th century", ,books,Still Image,"Thesaurus artificiosae memoriae, concionatoribus, philosophis, medicis, juristis, oratoribus, procuratoribus, caeterisq[ue] bonarum litterarum amatoribus. Page 1", , , ,fast, , , , ,Latin,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Venetiis,12016,Still Image, ,1579,No Copyright - United States,holdings, ,5516224,B154.1 R72, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/rossellithesaurus, , , , ,Mnemonics--Early works to 1850|Memory--Early works to 1800, , , , , , , , , , , 
