_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_term.name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,name-6:name_term.value,name-6:name_term.name_type,name-6:name_role-1:name_role_term.authority,name-6:name_role-1:name_role_term.uri,name-6:name_role-1:name_role_term.value,name-6:name_term.authority,name-6:name_term.uri,name-7:name_term.value,name-7:name_term.name_type,name-7:name_role-1:name_role_term.authority,name-7:name_role-1:name_role_term.uri,name-7:name_role-1:name_role_term.value,name-7:name_term.authority,name-7:name_term.uri,name-8:name_term.value,name-8:name_term.name_type,name-8:name_role-1:name_role_term.authority,name-8:name_role-1:name_role_term.uri,name-8:name_role-1:name_role_term.value,name-8:name_term.authority,name-8:name_term.uri,name-9:name_term.value,name-9:name_term.name_type,name-9:name_role-1:name_role_term.authority,name-9:name_role-1:name_role_term.uri,name-9:name_role-1:name_role_term.value,name-9:name_term.authority,name-9:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.code,location-1:location_shelf_location-1:location_shelf_location_free_text,object_in_context_url-1:object_in_context_url_value,note-2:note_value,note-2:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-2:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,Column12,Column13,place_of_origin-1:place_of_origin_value,Column14,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1
asset,politicalecologies_oha,political_ecologies,,,omeka_4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/military_science,original filename: politic_eco_110027015,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title page,politicalecologies_oha_001
item,,political_ecologies,,,,5537415,"Agricola, Georgius, 1494-1555",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n86873007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,,,1621,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B669 Ag8312,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,Encyclopedias,fast,http://id.worldcat.org/fast/1423798,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,Basel (Switzerland),http://id.loc.gov/authorities/names/n79062979,Ludovici Regis,Metallurgy,fast,http://id.worldcat.org/fast/1018005,Mines and mineral resources,fast,http://id.worldcat.org/fast/1022541,,,,,,De Re Metallica,politicalecologies_brs
asset,politicalecologies_brs,political_ecologies,,,omeka_4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of two mine shafts. The man on the hill uses plumb lines and triangulation to determine subterranean distances. ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/mining,original filename: politic_eco_110027004,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered illustration,politicalecologies_brs_001
item,,political_ecologies,,,,5535740,"Kircher, Athanasius, 1602-1680",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n79065772,"Janssonius van Waesberge, Johannes, active 1642-1681",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr00031517,"Weyerstraten, Elizaeus, -1667?",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr00022556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,,,1665,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B502 K633 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,Amsterdam (Netherlands),http://id.loc.gov/authorities/names/n78095634,Johannes Janssonius and Elizeus Weyerstraten,Geology,fast,http://id.worldcat.org/fast/940627,Natural history,fast,http://id.worldcat.org/fast/1034268,,,,,,Mundus Subterraneus,politicalecologies_bxc
asset,politicalecologies_bxc,political_ecologies,,,omeka_4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of a man-powered water lift. ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/mining/kircher,original filename: politic_eco_110027031,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figure V, 'Machina Hydraulica'",politicalecologies_bxc_005
item,,political_ecologies,,,,,"Brahe, Tycho, 1546-1601",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n50043255,"Kepler, Johannes, 1571-1630",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n50044770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610,,,1610,"1610 edition of Brahe's work, unfinished at his death in 1601, finished and published by Johannes Kepler in 1602.","Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,text,,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,Prague (Czech Republic),http://id.loc.gov/authorities/names/n79055764,Godfrey Tampach,Astronomy,fast,http://id.worldcat.org/fast/819673,Supernovae,fast,http://id.worldcat.org/fast/1138973,,,,,,Astronomiae Instauratae Progymnasmata,politicalecologies_fbm
asset,politicalecologies_fbm,political_ecologies,,,omeka_4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The first page of a table detailing the positions of 777 stars. ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astronomy/brahe,original filename: politic_eco_110027010,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page spread, 257-258",politicalecologies_fbm_257
asset,politicalecologies_fbm,political_ecologies,,,omeka_4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of Cassiopeia in reverse or as seen from without the celestial sphere. The super nova of 1572 (SN 1572) is depicted along the back of the throne. ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astronomy/brahe,original filename: politic_eco_110027011,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 315,politicalecologies_fbm_315
asset,politicalecologies_pso,political_ecologies,,,omeka_4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astrology,original filename: politic_eco_110027036,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontispiece,politicalecologies_pso_002
item,,political_ecologies,David Eugene Smith Library,http://id.library.columbia.edu/term/e0fe36db-694e-40ac-9e24-554f5cb35ed0,,6181778,"Dariot, Claude, 1533-1594",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/nr93002987,"Withers, Fabian",personal,marcrelator,http://id.loc.gov/vocabulary/relators/trl,Translator,naf,http://id.loc.gov/authorities/names/n85086570,"Purfoot, Thomas, -1615",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,naf,http://id.loc.gov/authorities/names/n2004075117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598,,,1598,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,SMITH 156.4 1598 D24 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,Handbooks and manuals,fast,http://id.worldcat.org/fast/1423877,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,London (England),http://id.loc.gov/authorities/names/n79005665,Thomas Purfoot,Astrology,fast,http://id.worldcat.org/fast/819398,Zodiac,fast,http://id.worldcat.org/fast/1184573,,,,,A,Briefe and most easie Introduction to the Astrologicall Judgement of the Starres,politicalecologies_mlx
asset,politicalecologies_mlx,political_ecologies,,,omeka_4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First two pages of a seven-page table listing ""Natures and Complexions,"" maladies, and advice corresponding to the signs of the zodiac. Entries for Aries, Taurus, and Gemini are visible. ",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astrology,original filename: politic_eco_110027017,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered page spread,politicalecologies_mlx_003
item,,political_ecologies,,,,5543722,"Morland, S. (Samuel), Sir, 1625-1695",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n82066500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685,,,1685,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B621.64 M827 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/fre,French,iso639-2,http://id.loc.gov/vocabulary/iso639-2/heb,Hebrew,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,Paris (France),http://id.loc.gov/authorities/names/n79058874,,Hydrostatics,fast,http://id.worldcat.org/fast/965280,Hydraulics,fast,http://id.worldcat.org/fast/964776,,,,,,Elevation des eaux par toute sorte de machines,politicalecologies_gio
asset,politicalecologies_gio,political_ecologies,,,omeka_4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of a water pump.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/hyraulics_and_hydrostatics,original filename: politic_eco_110027034,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered illustration,politicalecologies_gio_002
asset,politicalecologies_oha,political_ecologies,,,omeka_4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of soldiers performing drills outside of a fortification.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/military_science,original filename: politic_eco_110027014,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 63-64,politicalecologies_oha_063
asset,politicalecologies_gio,political_ecologies,,,omeka_4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/hyraulics_and_hydrostatics,original filename: politic_eco_110027035,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title page,politicalecologies_gio_001
item,,political_ecologies,,,,5543289,"Grandami, Jacques, 1588-1672",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/no00031999,"Roufseuille, F.",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ill,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,,,1645,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B621.322 G76 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,La Flèche (France),http://id.loc.gov/authorities/names/n82032279,G. Griveau,Astronomy,fast,http://id.worldcat.org/fast/819673,Rotation of the Earth,fast,http://id.worldcat.org/fast/1354623,,,,,,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,politicalecologies_igh
asset,politicalecologies_igh,political_ecologies,,,omeka_4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The cherubim on the left hang rings from magnets. The cherubim on the right hold compasses at different distances from a rod.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/magnetism,original filename: politic_eco_110027021,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illustration 121,politicalecologies_igh_121
asset,politicalecologies_bxc,political_ecologies,,,omeka_4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An illustration of the subterranean rivers, oceans, and fiery channels Kircher posited lay beneath the Earth's surface. ",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/mining/kircher,original filename: politic_eco_110027028,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full two page spread, illustration entitled, 'Systema Ideale'",politicalecologies_bxc_002
asset,politicalecologies_oha,political_ecologies,,,omeka_4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of soldiers performing drills outside of a fortification.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/military_science,original filename: politic_eco_110027013,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 59-60,politicalecologies_oha_059
item,,political_ecologies,David Eugene Smith Library,http://id.library.columbia.edu/term/e0fe36db-694e-40ac-9e24-554f5cb35ed0,,6189005,"Blundeville, Thomas, active 1561",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n50010315,"Bishop, Richard, active 1631-1653",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,naf,http://id.loc.gov/authorities/names/nr94035492,"Allen, Benjamin, -1646",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr94028524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,,,1636,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,SMITH 520 1636 B62 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,London (England),http://id.loc.gov/authorities/names/n79005665,Benjamin Allen,Navigation,fast,http://id.worldcat.org/fast/1035085,Nautical astronomy,fast,http://id.worldcat.org/fast/1034759,,,,,,Mr. Blundevil his Exercises,politicalecologies_lgc
asset,politicalecologies_lgc,political_ecologies,,,omeka_4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A depiction of ""an instrument which will shew at any houre of the night, how much the Loadstar is either above or beneath the Pole."" This illustration is particularly interesting because a former owner made the instrument by stitching a paper disc and a paper needle to the page.",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/navigation/blundeville,original filename: politic_eco_110027005,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page 720, illustration from 'The Art of Navigation', entitled, 'The Shape or Figure of the Rectifier of the North Starre'",politicalecologies_lgc_720
asset,politicalecologies_pso,political_ecologies,,,omeka_4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A catalogue of the highway distances between cities in England.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astrology,original filename: politic_eco_110027040,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,"Discription of the High-ways in England and Wales; Page spread, folios C3-C4",politicalecologies_pso_008
asset,politicalecologies_lgc,political_ecologies,,,omeka_4739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An illustration of a mariner's quadrant, a device used to determine one's latitude at sea",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/navigation/blundeville,original filename: politic_eco_110027006,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered illustration,politicalecologies_lgc_005
asset,politicalecologies_brs,political_ecologies,,,omeka_4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of a mine ventilation system. The vane (H) orients the wooden vessel (A) so that the vent (C) faces the wind. The wind forces fresh air through a pipe (D) and into the mine. ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/mining,original filename: politic_eco_110027003,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered illustration,politicalecologies_brs_002
