relatedItem_collection,name_primary,name_primary_type,name_primary_Relator,name_primary_authority,name_primary_authority_identifier,name 2,name_type_2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,name_type 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,name_type 4,nameRelator 4,name_authority 4,name_authority-identifier 4,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note 1,note_holdings,note_filename 1,note_filename 2,digitalOrigin,extent,form,form_authority,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project_nonSort,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,relatedItem_note,accessCondition,subject_topic 1,subject_topic_authority 1,subject_topic_authority_identifier 1,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,title,title_nonSort,identifier_title,partName,title2,title2_type,item - public,item - featured
Varsity Show Records,"Gilbert T. Washburn & Co. (New York, N.Y.)",corporate,,,,Player's Club of Columbia University,corporate,,,,,,,,,,,,,,1921,,,1921,"Page of photos including Richard Rodgers (composer) and Lorenz Hart (lyricist) from 1921 Varsity Show program ""You'll Never Know""",,omeka_4189,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/rodgers,NNC-UA,marcorg,"Box 10, folder 3",,"Richard C.Rodgers, '23, Lorenz Hart, '17, Henry William Hanemann, '17, Herman Axelrod, '15",UA#0106,varsity_100129008,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You'll Never Know,,varsityshow_psp,,,,1,0
Varsity Show Records,"Gilbert T. Washburn & Co. (New York, N.Y.)",corporate,,,,Player's Club of Columbia University,corporate,,,,,,,,,,,,,,1921,,,1921,"Page of photos including Oscar Hammerstein from 1921 Varsity Show program ""You'll Never Know""",,omeka_4188,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/rodgers,NNC-UA,marcorg,"Box 10, folder 3",,"Frederick W. Henderson, '21, Oscar Hammerstein 2nd, '16, A. E. Rhinehart, '14, Herbert Fields",UA#0106,varsity_100129007,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You'll Never Know,,varsityshow_psp_003,Production staff photos,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1909),conference,,naf,"http://id.loc.gov/authorities/names/no2014169179
",,,,,,,,,,,,,,,,1909,,,1909,"Printed poster advertising 1909 Varsity Show ""In Newport"" featuring the image of a can can girl.",,omeka_4218,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files, Map Case, drawer 8",,,Flat Files UA#0106,varsity_100129037,,reformatted digital,"22.25"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Dancers,fast,http://id.worldcat.org/fast/887581,,,,,,,In Newport,,varsityshow_pst_000,,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1909),conference,,naf,"http://id.loc.gov/authorities/names/no2014169179
",,,,,,,,,,,,,,,,1909,,,1909,"Printed poster advertising 1909 Varsity Show ""In Newport"" featuring the image of a can can girl.",,omeka_4218,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files, Map Case, drawer 8",,,Flat Files UA#0106,varsity_100129037,,reformatted digital,"22.25"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Dancers,fast,http://id.worldcat.org/fast/887581,,,,,,,In Newport,,varsityshow_pst,,,,1,0
Varsity Show Records,,,,,,,,,,,,,,,,,,,,,1909,,,1909,"Original pen and ink sketch of a can can girl for use in a poster advertising the 1909 Varsity Show ""In Newport""",,omeka_4217,still image,,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 4, folder 1",,,Flat Files UA#0106,varsity_100129036,,reformatted digital,"13.5"" x 10.75""",drawings,gmgpc,drawings (visual works),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Dancers,fast,http://id.worldcat.org/fast/887581,,,,,,,Pen sketch of can can girl for In Newport poster,,varsityshow_skh_000,,,,1,0
Varsity Show Records,,,,,,,,,,,,,,,,,,,,,1909,,,1909,"Original pen and ink sketch of a can can girl for use in a poster advertising the 1909 Varsity Show ""In Newport""",,omeka_4217,still image,,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 4, folder 1",,,Flat Files UA#0106,varsity_100129036,,reformatted digital,"13.5"" x 10.75""",drawings,gmgpc,drawings (visual works),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Dancers,fast,http://id.worldcat.org/fast/887581,,,,,,,Pen sketch of can can girl for In Newport poster,,varsityshow_skh,,,,1,0
Varsity Show Records,,,,naf,,Varsity Show (Columbia University) (1991),conference,,,,,,,,,,,,,,1991,,,1991,"Program cover for Varsity Show ""The Silence of the Lions"" (1991)",,omeka_4202,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 17, folder 3",,,UA#0106,varsity_100129021,,reformatted digital,"8.5"" x 5.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Silence of the Lions,The,varsityshow_sol_001,Cover,,,1,0
Varsity Show Records,,,,naf,,Varsity Show (Columbia University) (1991),conference,,,,,,,,,,,,,,1991,,,1991,"Program cover for Varsity Show ""The Silence of the Lions"" (1991)",,omeka_4202,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 17, folder 3",,,UA#0106,varsity_100129021,,reformatted digital,"8.5"" x 5.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Silence of the Lions,The,varsityshow_sol,,,,1,0
Varsity Show Records,"Bruzza, G.",personal,ill,,,,,,,,,,,,,,,,,,1937,,,1937,"Program cover for Varsity Show ""Some of the People"" (1937)",,omeka_4199,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 11, folder 9",,,UA#0106,varsity_100129018,,reformatted digital,"11.75"" x 8.75""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1937",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Some of the People,,varsityshow_sop_001,Cover,,,1,0
Varsity Show Records,"Bruzza, G.",personal,ill,,,,,,,,,,,,,,,,,,1937,,,1937,"Program cover for Varsity Show ""Some of the People"" (1937)",,omeka_4199,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 11, folder 9",,,UA#0106,varsity_100129018,,reformatted digital,"11.75"" x 8.75""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1937",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Some of the People,,varsityshow_sop,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1954),conference,,,,,,,,,,,,,,1954,,,1954,"Original poster (w/glitter) for 1954 Varsity Show ""The Sky's The Limit""",,omeka_4211,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"UA Flat Files Box 14, folder 2",,,Flat Files UA#0106,varsity_100129030,,reformatted digital,"18"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Sky's The Limit,The,varsityshow_stl_000,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1954),conference,,,,,,,,,,,,,,1954,,,1954,"Original poster (w/glitter) for 1954 Varsity Show ""The Sky's The Limit""",,omeka_4211,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"UA Flat Files Box 14, folder 2",,,Flat Files UA#0106,varsity_100129030,,reformatted digital,"18"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Sky's The Limit,The,varsityshow_stl,,,,1,0
Varsity Show Records,"Harrison, Henry Sydnor, 1880-1930",personal,bkd,naf,http://id.loc.gov/authorities/names/no96015562,"Cane, Melville Henry, 1879-1980",personal,lyr,naf,http://id.loc.gov/authorities/names/n50051530,"Erskine, John, 1879-1951",personal,cmp,naf,http://id.loc.gov/authorities/names/n50012296,,,,,,1900,,,1900,"Libretto cover for  Varsity Show, ""The Governor's Vrouw"" (1900)",,omeka_4185,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 1, folder 6",,,UA#0106,varsity_100129004,,reformatted digital,"10"" x 7""",printed ephemera,aat,librettos,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Governor's Vrouw,,varsityshow_tgv_001,Cover,,,1,0
Varsity Show Records,"Harrison, Henry Sydnor, 1880-1930",personal,bkd,naf,http://id.loc.gov/authorities/names/no96015562,"Cane, Melville Henry, 1879-1980",personal,lyr,naf,http://id.loc.gov/authorities/names/n50051530,"Erskine, John, 1879-1951",personal,cmp,naf,http://id.loc.gov/authorities/names/n50012296,,,,,,1900,,,1900,"Libretto cover for  Varsity Show, ""The Governor's Vrouw"" (1900)",,omeka_4185,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 1, folder 6",,,UA#0106,varsity_100129004,,reformatted digital,"10"" x 7""",printed ephemera,aat,librettos,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Governor's Vrouw,,varsityshow_tgv,,,,1,0
Varsity Show Records,"Ford, Corey, 1902-1969",personal,aut,naf,http://id.loc.gov/authorities/names/n50024813,,,,,,,,,,,,,,,,1923,,,1923,"Side by side text of lyrics from ""Bold Buccaneers"" and ""Roar Lion Roar"" - which used the same music as ""Bold Buccaneers"" ",,omeka_4190,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/song/roar,NNC-UA,marcorg,"Box 10, folder 5",,"Corey Ford, Class of 1923",UA#0106,varsity_100129009,,reformatted digital,"7.5"" x 6""",printed ephemera,aat,songs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Students' songs,fast,http://id.worldcat.org/fast/1136161,,,,,,,"""Bold Buccaneers"" and ""Roar Lion Roar""",,varsityshow_txt_000,,,,1,0
Varsity Show Records,"Ford, Corey, 1902-1969",personal,aut,naf,http://id.loc.gov/authorities/names/n50024813,,,,,,,,,,,,,,,,1923,,,1923,"Side by side text of lyrics from ""Bold Buccaneers"" and ""Roar Lion Roar"" - which used the same music as ""Bold Buccaneers"" ",,omeka_4190,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/song/roar,NNC-UA,marcorg,"Box 10, folder 5",,"Corey Ford, Class of 1923",UA#0106,varsity_100129009,,reformatted digital,"7.5"" x 6""",printed ephemera,aat,songs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Students' songs,fast,http://id.worldcat.org/fast/1136161,,,,,,,"""Bold Buccaneers"" and ""Roar Lion Roar""",,varsityshow_txt,,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1955),conference,,,,,,,,,,,,,,,,,,,1955,,,1955,"Original poster (w/glitter) for 1955 Varsity Show ""When in Rome""",,omeka_4212,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/pony/intro,NNC-UA,marcorg,"UA Flat Files Box 14, folder 2",,,Flat Files UA#0106,varsity_100129031,,reformatted digital,"18"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,When in Rome,,varsityshow_wir_000,,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1955),conference,,,,,,,,,,,,,,,,,,,1955,,,1955,"Original poster (w/glitter) for 1955 Varsity Show ""When in Rome""",,omeka_4212,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/pony/intro,NNC-UA,marcorg,"UA Flat Files Box 14, folder 2",,,Flat Files UA#0106,varsity_100129031,,reformatted digital,"18"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,When in Rome,,varsityshow_wir,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1938),conference,,naf,,,,,,,,,,,,1938,,,1938,"Original poster for 1938 Varsity Show ""You've Got Something There""",,omeka_4213,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 3",,,Flat Files UA#0106,varsity_100129032,,reformatted digital,"22.5"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You've Got Something There poster,,varsityshow_ygs_000,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1938),conference,,naf,,,,,,,,,,,,1938,,,1938,"Original poster for 1938 Varsity Show ""You've Got Something There""",,omeka_4213,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 14, folder 3",,,Flat Files UA#0106,varsity_100129032,,reformatted digital,"22.5"" x 14""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You've Got Something There poster,,varsityshow_ygs,,,,1,0
Varsity Show Records,Wade,personal,cov,,,Varsity Show (Columbia University) (1921),conference,,,,,,,,,,,,,,1921,,,1921,"Original poster for 1921 Varsity Show ""You'll Never Know""",,omeka_4209,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 13, folder 3",,,Flat Files UA#0106,varsity_100129028,,reformatted digital,"15.5"" x 11""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You'll Never Know,,varsityshow_ynk_000,,,,1,0
Varsity Show Records,Wade,personal,cov,,,Varsity Show (Columbia University) (1921),conference,,,,,,,,,,,,,,1921,,,1921,"Original poster for 1921 Varsity Show ""You'll Never Know""",,omeka_4209,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 13, folder 3",,,Flat Files UA#0106,varsity_100129028,,reformatted digital,"15.5"" x 11""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You'll Never Know,,varsityshow_ynk,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1938),conference,,naf,,Columbia University Players,corporate,,,,,,,,,1938,,,1938,"Program cover for Varsity Show ""You've Got Something There"" (1938)",,omeka_4194,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 10",,,UA#0106,varsity_100129013,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1938",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You've Got Something There program cover,,varsityshow_yvg_001,Cover,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1938),conference,,naf,,Columbia University Players,corporate,,,,,,,,,1938,,,1938,"Program cover for Varsity Show ""You've Got Something There"" (1938)",,omeka_4194,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 10",,,UA#0106,varsity_100129013,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1938",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,You've Got Something There program cover,,varsityshow_yvg,,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1928),conference,,naf,http://id.loc.gov/authorities/names/no2014167390,Columbia University Players,corporate,,,,,,,,,,,,,,1928,,,1928,"Program cover for Varsity Show, ""Zuleika"" (1928)",,omeka_4192,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 10, folder 10",,,UA#0106,varsity_100129011,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Zuleika program cover,,varsityshow_zul_001,Cover,,,1,0
Varsity Show Records,Varsity Show (Columbia University) (1928),conference,,naf,http://id.loc.gov/authorities/names/no2014167390,Columbia University Players,corporate,,,,,,,,,,,,,,1928,,,1928,"Program cover for Varsity Show, ""Zuleika"" (1928)",,omeka_4192,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 10, folder 10",,,UA#0106,varsity_100129011,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Zuleika program cover,,varsityshow_zul,,,,1,0
